category,j5_meta_category,j5_confidence,j5_rationale,j5_ok,j5_cache_hit
1-Person Tents / Day Shelters,sports_outdoor,high,tents and day shelters are outdoor camping gear,True,True
10ft iPhone Lightning Charging Cables,electronics_compute,high,iPhone Lightning charging cables are phone/device accessories,True,True
14-inch Laptops with AMD Ryzen Processors,electronics_compute,high,"14-inch laptops are portable computers, clearly in the compute category",True,True
14ft Round Trampoline Spring Cover (Safety Pad),sports_outdoor,high,trampoline safety pad is outdoor/fitness equipment accessory,True,True
16-inch Portable TVs,electronics_other,high,portable TVs fall under the TV/display electronics category,True,False
17-inch Productivity Laptops,electronics_compute,high,17-inch laptops are clearly computing devices,True,True
2-in-1 Laptop/Tablet for Audio Production,electronics_compute,high,2-in-1 laptop/tablet is a computing device regardless of intended use case,True,True
240Hz Gaming Monitors (24-25 inch),electronics_compute,high,gaming monitors are display/compute peripherals,True,True
27-inch Monitors,electronics_compute,high,monitors are computer display peripherals,True,False
3D Printers,electronics_other,high,3D printers are consumer/prosumer hardware devices not covered by compute or audio categories,True,False
4-Barrel Carburetors for Street/Strip 383 Chevy Stroker,other,high,automotive engine parts do not fit any defined category,True,True
4-Port USB 3.0 Hub,electronics_compute,high,USB hub is a computer peripheral/accessory,True,False
4-Shelf Bookcases,home_other,high,bookcases are home furniture items,True,True
4-Slice Toasters,home_kitchen,high,toasters are kitchen appliances,True,False
65-inch OLED TV,electronics_other,high,65-inch OLED TV is a television display product,True,True
AM/FM Boombox Radio,electronics_other,high,boombox radio is a consumer electronics audio/entertainment device,True,True
Adjustable Dumbbell Sets,sports_outdoor,high,adjustable dumbbells are fitness/weightlifting equipment,True,True
Affordable Anti-Aging Moisturizers for Dry Skin,beauty_personal_care,high,anti-aging moisturizer is a skincare product,True,True
Air Fryer,home_kitchen,high,air fryer is a kitchen cooking appliance,True,True
Air Fryers,home_kitchen,high,air fryers are kitchen cooking appliances,True,True
Air Purifier,home_other,high,air purifiers are home appliances used for cleaning indoor air,True,True
Air Purifier/Dehumidifier Combo,home_other,high,air purifiers and dehumidifiers are home appliances for air quality and environment control,True,True
Airbrush Painting Systems for Scale Models,toys_hobbies,high,airbrush painting systems used for scale model hobby crafting,True,True
All-in-One Washer-Dryer Combos,home_other,high,washer-dryer combos are laundry appliances classified under home goods,True,False
Alligator Clip Adapters for Multimeter Probes,other,high,electrical test equipment accessories not fitting any listed category,True,True
Anti-Aging Face Moisturizer,beauty_personal_care,high,face moisturizer is a skincare product,True,True
Anti-Aging Skin Care Serums,beauty_personal_care,high,skincare serums fall under beauty and personal care,True,True
Apartment Sized Sofas,home_other,high,sofas are furniture items,True,False
Appetite Suppressant Supplements,food_beverage,high,dietary supplements consumed for appetite suppression,True,True
Aquarium Kits,other,high,aquarium/fish tank kits are pet/hobby products not covered by defined categories,True,True
Arduino Starter Kits,toys_hobbies,high,Arduino starter kits are hobby electronics/maker kits used for learning and DIY projects,True,False
Area Rugs,home_other,high,area rugs are home decor/furnishing items,True,True
Athletic Running/Walking Shoes,apparel_footwear,high,athletic running/walking shoes are clearly footwear,True,True
Automatic Cat Litter Box,other,high,pet care product not fitting any defined category,True,True
Automatic Trash Can (13 Gallon),home_other,high,automatic/sensor trash can is a home utility/cleaning product,True,True
Baby Nasal Spray / Saline Nasal Mist for Infants (3+ months),baby_kids,high,saline nasal spray specifically formulated for infants,True,True
Bakeware Sets,home_kitchen,high,bakeware sets are kitchen cookware items,True,False
Bamboo Throw Blanket,home_other,high,throw blanket is bedding/home textile,True,True
Basic Survival Kits,sports_outdoor,high,survival kits are outdoor/emergency preparedness gear,True,True
Basketball Shoes,apparel_footwear,high,basketball shoes are athletic footwear,True,True
Bass Fuzz Pedals,toys_hobbies,high,guitar/bass effects pedals are musical instrument accessories,True,True
Bathroom Pop-Up Drain Stoppers,home_other,high,bathroom drain hardware is a home fixture/plumbing accessory,True,False
Bathroom Weight Scale (Non-Bluetooth),home_other,high,"bathroom scale is a home measurement/health device, non-electronic connectivity variant",True,True
Battery Powered Lawn Mowers,sports_outdoor,high,lawn mowers are outdoor power equipment for yard maintenance,True,True
Battery-Powered Toy Trains for Toddlers,toys_hobbies,high,toy trains designed for toddlers are a classic toy/hobby product,True,True
Beach Bags,sports_outdoor,high,beach bags are outdoor/recreational carry bags,True,True
Bedroom Door Locks with Combination Entry,home_other,high,door locks are home security/hardware items fitting home accessories,True,True
Beginner Telescopes,toys_hobbies,high,beginner telescopes are hobby/recreational optical instruments,True,True
"Big Screen TVs (65""+)",electronics_other,high,large-screen televisions fall under TV/display electronics,True,True
Bird Food Storage Containers,home_kitchen,high,storage containers for bird food are household food storage items,True,True
Black Linen Pants,apparel_clothing,high,linen pants are a clothing garment,True,True
Black Seed Oil Supplements,food_beverage,high,consumable dietary supplement,True,True
Black Suede Tote Bags,sports_outdoor,high,tote bags fall under bags and carry accessories in sports/outdoor category,True,True
Blenders,home_kitchen,high,blenders are kitchen appliances,True,True
Blenders for Smoothies,home_kitchen,high,blenders are kitchen appliances,True,True
Blenders with Food Processor Attachment,home_kitchen,high,blenders with food processor attachments are kitchen appliances,True,True
Bluetooth Gaming Headphones,electronics_audio,high,Bluetooth gaming headphones are audio peripherals,True,True
Bluetooth Headphones,electronics_audio,high,Bluetooth headphones are wireless audio devices,True,True
Bluetooth Headphones for Active Use,electronics_audio,high,Bluetooth headphones are audio devices,True,False
Bluetooth In-Ear Headphones,electronics_audio,high,Bluetooth in-ear headphones are wireless earbuds/audio devices,True,True
Bone Conduction Earbuds,electronics_audio,high,bone conduction earbuds are a type of audio listening device,True,True
Bookshelves,home_other,high,bookshelves are furniture/home storage items,True,True
Bookshelves with Sliding Doors,home_other,high,bookshelf is furniture/home storage,True,True
Boxing Sparring Gloves,sports_outdoor,high,boxing sparring gloves are sporting goods equipment,True,True
Boys' Athletic Sneakers (Everyday Use),baby_kids,high,boys' sneakers are children's footwear,True,True
Boys' Everyday Socks (6-Pack),baby_kids,high,boys' socks are children's apparel,True,True
Breathable Barefoot Shoes,apparel_footwear,high,barefoot shoes are a type of minimalist footwear,True,True
Bronze Vessel Bathroom Sinks,home_other,high,bathroom sink fixtures are home decor/furnishing items,True,True
Brown Shoe Polish,apparel_footwear,high,shoe polish is a footwear care product,True,True
Budget Android Smartphones (Under $300),electronics_compute,high,smartphones fall under computing/mobile devices,True,True
Budget Gaming & Coding Laptop,electronics_compute,high,laptop is a computing device,True,False
Budget Gaming/Work Laptop,electronics_compute,high,laptop is a computing device,True,True
Budget Laptops Under $500,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Budget Laptops for Work,electronics_compute,high,laptops are explicitly listed under electronics_compute,True,True
Budget Monitors for Work,electronics_compute,high,monitors are computer display peripherals,True,True
Budget Tablets Under $200,electronics_compute,high,tablets are computing devices,True,True
Budget i7 Laptops for Light Gaming,electronics_compute,high,laptops with i7 processor specification,True,True
CD and Cassette Players,electronics_other,high,CD and cassette players are consumer electronics playback devices,True,False
Cannabis Pre-Rolls,other,high,cannabis products do not fit any defined category,True,True
Capsule Coffee Maker,home_kitchen,high,coffee maker is a kitchen appliance,True,True
Car Fridge / Portable Cooler,other,high,portable car fridge/cooler is automotive/travel appliance not fitting core categories,True,False
Carry-On Spinner Suitcases,sports_outdoor,high,carry-on spinner suitcases are travel luggage/bags,True,True
Cars (Sedans & Compact SUVs),other,high,automobiles do not fit any defined product category,True,False
Casual & Work Shoes,apparel_footwear,high,explicitly describes shoes for casual and work wear,True,True
Casual Cotton Sundress,apparel_clothing,high,sundress is a garment/clothing item,True,True
Casual Everyday Sneakers,apparel_footwear,high,sneakers are footwear,True,True
Casual Hats,apparel_clothing,high,casual hats are wearable garments/accessories,True,False
Casual Jackets,apparel_clothing,high,casual jackets are outerwear garments,True,True
Casual Shoes,apparel_footwear,high,casual shoes are footwear,True,True
Casual Slip-On Shoes,apparel_footwear,high,slip-on shoes are footwear,True,True
Casual Sneakers,apparel_footwear,high,sneakers are footwear,True,True
Casual T-Shirts,apparel_clothing,high,casual t-shirts are garments/clothing items,True,True
Cat Litter,other,high,pet supplies do not fit any defined category,True,True
Cat Trees for Large Cats,other,high,pet furniture/accessories for cats does not fit any defined category,True,True
Chelsea FC Soccer Jerseys,apparel_clothing,high,soccer jerseys are sports garments/clothing,True,True
Chiffon Cake Baking Pans,home_kitchen,high,baking pans are kitchen cookware/bakeware,True,True
Children's Cough & Congestion Medicine (Ages 4+),baby_kids,high,children's medicine/health product for kids ages 4+,True,True
